PROLIFIC_PID,Validity,Condition,Freq,RT
60b91383e5e9ab787f581f7c,invalid,S1-R Coloured,2,NA
60b91383e5e9ab787f581f7c,invalid,S2-R,7,NA
60b91383e5e9ab787f581f7c,Valid,S1-R Coloured,18,527.533333354531
60b91383e5e9ab787f581f7c,Valid,S2-R,33,924.52121213711
60cb63abf6f1053d9577e1fe,invalid,S1-R Coloured,0,NA
60cb63abf6f1053d9577e1fe,invalid,S2-R,6,NA
60cb63abf6f1053d9577e1fe,Valid,S1-R Coloured,20,790.0649999976196
60cb63abf6f1053d9577e1fe,Valid,S2-R,34,773.0558823592496
60d432ce6e413e7509dd4b78,invalid,S1-R Coloured,8,NA
60d432ce6e413e7509dd4b78,invalid,S2-R,16,NA
60d432ce6e413e7509dd4b78,Valid,S1-R Coloured,12,976.6416666309208
60d432ce6e413e7509dd4b78,Valid,S2-R,24,704.1791666646849
60dbd1a6bb3d411213cef6bc,invalid,S1-R Coloured,8,NA
60dbd1a6bb3d411213cef6bc,invalid,S2-R,20,NA
60dbd1a6bb3d411213cef6bc,Valid,S1-R Coloured,12,171.91666666682673
60dbd1a6bb3d411213cef6bc,Valid,S2-R,20,223.95000000005894
60df713d7718de2a4065b80b,invalid,S1-R Coloured,11,NA
60df713d7718de2a4065b80b,invalid,S2-R,10,NA
60df713d7718de2a4065b80b,Valid,S1-R Coloured,9,642.8888888888828
60df713d7718de2a4065b80b,Valid,S2-R,30,605.3166666666812
60f91d62ce12ac59792a3f6e,invalid,S1-R Coloured,0,NA
60f91d62ce12ac59792a3f6e,invalid,S2-R,19,NA
60f91d62ce12ac59792a3f6e,Valid,S1-R Coloured,20,820.2149999856886
60f91d62ce12ac59792a3f6e,Valid,S2-R,21,882.80476190931
60fcebba7345a976efc9c080,invalid,S1-R Coloured,0,NA
60fcebba7345a976efc9c080,invalid,S2-R,2,NA
60fcebba7345a976efc9c080,Valid,S1-R Coloured,20,527.650000000375
60fcebba7345a976efc9c080,Valid,S2-R,38,740.8052631583284
60fd080d5476f4a77211bafb,invalid,S1-R Coloured,0,NA
60fd080d5476f4a77211bafb,invalid,S2-R,16,NA
60fd080d5476f4a77211bafb,Valid,S1-R Coloured,20,890.4949999988048
60fd080d5476f4a77211bafb,Valid,S2-R,24,1025.1833333422837
60fd7f782b0c5f0b6503302a,invalid,S1-R Coloured,11,NA
60fd7f782b0c5f0b6503302a,invalid,S2-R,21,NA
60fd7f782b0c5f0b6503302a,Valid,S1-R Coloured,9,400.644444439144
60fd7f782b0c5f0b6503302a,Valid,S2-R,19,309.2105263189189
60fdaf5b539bcc4d2724d6a4,invalid,S1-R Coloured,6,NA
60fdaf5b539bcc4d2724d6a4,invalid,S2-R,5,NA
60fdaf5b539bcc4d2724d6a4,Valid,S1-R Coloured,14,690.8285714473103
60fdaf5b539bcc4d2724d6a4,Valid,S2-R,35,930.222857144895
60fdb83606ba18b3b54215fa,invalid,S1-R Coloured,6,NA
60fdb83606ba18b3b54215fa,invalid,S2-R,14,NA
60fdb83606ba18b3b54215fa,Valid,S1-R Coloured,14,350.9285714285641
60fdb83606ba18b3b54215fa,Valid,S2-R,26,280.2307692307758
6102dacce29b57b1e268c13a,invalid,S1-R Coloured,5,NA
6102dacce29b57b1e268c13a,invalid,S2-R,13,NA
6102dacce29b57b1e268c13a,Valid,S1-R Coloured,15,650.0866666634844
6102dacce29b57b1e268c13a,Valid,S2-R,27,588.2148148130462
610826a7604223dea33406f1,invalid,S1-R Coloured,11,NA
610826a7604223dea33406f1,invalid,S2-R,24,NA
610826a7604223dea33406f1,Valid,S1-R Coloured,9,251.122222264611
610826a7604223dea33406f1,Valid,S2-R,16,282.99374999106067
6108ac1e801e23ad2a25e7f0,invalid,S1-R Coloured,4,NA
6108ac1e801e23ad2a25e7f0,invalid,S2-R,21,NA
6108ac1e801e23ad2a25e7f0,Valid,S1-R Coloured,16,736.8750000111924
6108ac1e801e23ad2a25e7f0,Valid,S2-R,19,841.1210526353414
6111234ac8cfa49e38acbfb4,invalid,S1-R Coloured,6,NA
6111234ac8cfa49e38acbfb4,invalid,S2-R,12,NA
6111234ac8cfa49e38acbfb4,Valid,S1-R Coloured,14,581.6642857143393
6111234ac8cfa49e38acbfb4,Valid,S2-R,28,654.0892857140201
6114681d3dcdb4a295eec181,invalid,S1-R Coloured,9,NA
6114681d3dcdb4a295eec181,invalid,S2-R,9,NA
6114681d3dcdb4a295eec181,Valid,S1-R Coloured,11,765.245454571455
6114681d3dcdb4a295eec181,Valid,S2-R,31,701.1290322619046
611645b93f0840eae41426f5,invalid,S1-R Coloured,9,NA
611645b93f0840eae41426f5,invalid,S2-R,20,NA
611645b93f0840eae41426f5,Valid,S1-R Coloured,11,640.39090909199615
611645b93f0840eae41426f5,Valid,S2-R,20,323.94999999852416
611ff6cc935b6de3fff0b896,invalid,S1-R Coloured,1,NA
611ff6cc935b6de3fff0b896,invalid,S2-R,9,NA
611ff6cc935b6de3fff0b896,Valid,S1-R Coloured,19,681.1947368430299
611ff6cc935b6de3fff0b896,Valid,S2-R,31,645.1322580643364
61436bd26638b05527a135cb,invalid,S1-R Coloured,9,NA
61436bd26638b05527a135cb,invalid,S2-R,19,NA
61436bd26638b05527a135cb,Valid,S1-R Coloured,11,281.3636363636388
61436bd26638b05527a135cb,Valid,S2-R,21,351.29047619728584
6147724c13bb365774e24af1,invalid,S1-R Coloured,10,NA
6147724c13bb365774e24af1,invalid,S2-R,8,NA
6147724c13bb365774e24af1,Valid,S1-R Coloured,10,763.4900000035657
6147724c13bb365774e24af1,Valid,S2-R,32,701.0968749988855
6165ab1d62dc48b90438ea1d,invalid,S1-R Coloured,0,NA
6165ab1d62dc48b90438ea1d,invalid,S2-R,9,NA
6165ab1d62dc48b90438ea1d,Valid,S1-R Coloured,20,777.8999999999996
